Timestamp,Age,Industry,Job_title,Salary,Additional_compensation,Currency,Other_currency,Country,State,City,Overall_work_experience,Field_years_experience,Education,Gender,Race
2021-04-27T18:14:22.894Z,55-64,Education (Primary/Secondary),Early childhood teacher,43000,1500,USD,,United States,Ohio,Cincinnati,31 - 40 years,31 - 40 years,Master's degree,Woman,White
2021-04-27T18:14:25.425Z,35-44,Computing or Tech,QA Analyst,69000,0,EUR,,United Kingdom,,Dublin,11 - 20 years,11 - 20 years,Some college,Woman,White
2021-04-27T18:14:25.810Z,25-34,Entertainment,Director of PR,122000,12000,USD,,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
2021-04-27T18:14:28.826Z,45-54,Hospitality & Events,Senior Conference Director,90000,0,USD,,United States,Virginia,Reston,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T18:14:30.083Z,25-34,Education (Higher Education),Assistant Director,45000,0,USD,,United States,Pennsylvania,Philadelphia,5-7 years,2 - 4 years,Master's degree,Woman,White
2021-04-27T18:14:33.915Z,55-64,Engineering,Business support analyst,65409,3000,USD,,United States,Delaware,Wilmington,31 - 40 years,5-7 years,Some college,Woman,White
2021-04-27T18:14:35.168Z,25-34,Library/Archives,Librarian,41800,0,USD,,United States,Illinois,Zion,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T18:14:35.384Z,35-44,Government and Public Administration,Senior Evaluation Officer,105000,0,CAD,,Canada,,Ottawa,11 - 20 years,8 - 10 years,Master's degree,Woman,White
2021-04-27T18:14:35.615Z,35-44,Computing or Tech,Senior Researcher,575000,40000,USD,,United States,California,Bay Area,11 - 20 years,11 - 20 years,PhD,Woman,White
2021-04-27T18:14:38.153Z,35-44,Nonprofits,Communications Director,68000,0,USD,,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,College degree,Man,White
2021-04-27T18:14:38.608Z,25-34,Health care,Administrative Assistant,40000,0,CAD,,Canada,,Montreal,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T18:14:40.576Z,35-44,"Accounting, Banking & Finance",Credit Specialist,31000,2500,GBP,,United Kingdom,,Glasgow,11 - 20 years,8 - 10 years,Some college,Woman,White
2021-04-27T18:14:45.332Z,35-44,Computing or Tech,Product Designer,110000,20000,USD,,United States,California,Oakland,11 - 20 years,5-7 years,Master's degree,Woman,White
2021-04-27T18:14:46.379Z,35-44,Media & Digital,Brand content specialist,68195,8000,USD,,United States,Colorado,Denver,11 - 20 years,11 - 20 years,College degree,Man,White
2021-04-27T18:14:46.615Z,25-34,Computing or Tech,Senior UX Researcher,125000,5000,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T18:14:48.108Z,25-34,"Marketing, Advertising & PR",Project Coordinator,45000,0,USD,,United States,Florida,Orlando,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T18:14:49.559Z,25-34,Biotech,Scientist I,116000,15000,USD,,United States,California,Bay Area,1 year or less,1 year or less,PhD,Woman,White
2021-04-27T18:14:50.407Z,45-54,Nonprofits,Director of Development,113150,0,USD,,United States,Massachusetts,Waltham,31 - 40 years,21 - 30 years,College degree,Woman,White
2021-04-27T18:14:51.066Z,45-54,Insurance,Principal Carrier Support Analyst,115000,5000,USD,,United States,Nevada,Reno,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T18:14:52.781Z,25-34,Nonprofits,"Manager, Partner Engagement",59600,1500,USD,,United States,District of Columbia,"Washington, DC",5-7 years,5-7 years,College degree,Man,White
2021-04-27T18:14:53.234Z,35-44,Nonprofits,Administrative Coordinator,39000,0,USD,,United States,Maine,Bangor,11 - 20 years,8 - 10 years,High School,Woman,White
2021-04-27T18:14:54.078Z,45-54,Computing or Tech,Senior Director,180000,0,USD,,United States,Wisconsin,Madison,21 - 30 years,21 - 30 years,College degree,Man,White
2021-04-27T18:14:55.712Z,25-34,Media & Digital,"Director, Sales",125000,10000,USD,,United States,New York,New York City,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T18:14:57.240Z,25-34,Education (Higher Education),Administrative Assistant,44226,300,USD,,United States,Rhode Island,Providence,5-7 years,2 - 4 years,College degree,Woman,White
2021-04-27T18:14:58.326Z,35-44,Computing or Tech,Systems Administrator,95000,10000,USD,,United States,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T18:14:58.955Z,35-44,Computing or Tech,Clinical Systems Analyst,78800,0,USD,,United States,Wisconsin,Madison,11 - 20 years,8 - 10 years,College degree,Woman,White
2021-04-27T18:14:59.116Z,25-34,Agriculture or Forestry,Zoo keeper,31000,0,USD,,United States,California,Fresno,8 - 10 years,8 - 10 years,College degree,Woman,White
2021-04-27T18:15:01.595Z,25-34,Government and Public Administration,Strategic Policy Advisor,90580,0,CAD,,Canada,,Ottawa,8 - 10 years,5-7 years,Master's degree,Woman,White
2021-04-27T18:15:01.720Z,25-34,Nonprofits,Senior Communications Manager,97000,0,USD,,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,
